gx,gy,gz
0.087,-0.087,-0.087
0.105,-0.123,-0.087
0.087,-0.123,-0.07
0.07,-0.105,-0.105
0.07,-0.105,-0.07
0.07,-0.105,-0.087
0.07,-0.123,-0.087
0.087,-0.105,-0.087
0.053,-0.105,-0.087
0.087,-0.105,-0.087
0.07,-0.105,-0.07
0.087,-0.123,-0.07
0.07,-0.105,-0.105
0.07,-0.123,-0.07
0.087,-0.105,-0.087
0.087,-0.123,-0.087
0.087,-0.105,-0.105
0.105,-0.123,-0.07
0.087,-0.105,-0.07
0.087,-0.087,-0.07
0.087,-0.123,-0.087
0.087,-0.123,-0.087
0.087,-0.105,-0.07
0.087,-0.123,-0.087
0.087,-0.14,-0.07
0.087,-0.123,-0.087
0.105,-0.123,-0.087
0.087,-0.105,-0.087
0.087,-0.105,-0.087
0.087,-0.105,-0.087
0.087,-0.123,-0.087
0.087,-0.105,-0.105
0.07,-0.123,-0.105
0.07,-0.123,-0.087
0.07,-0.105,-0.087
0.087,-0.123,-0.087
0.087,-0.105,-0.087
0.087,-0.105,-0.105
0.087,-0.105,-0.07
0.105,-0.123,-0.087
0.105,-0.105,-0.087
0.087,-0.123,-0.07
0.07,-0.105,-0.087
0.105,-0.105,-0.07
0.087,-0.105,-0.087
0.087,-0.105,-0.087
0.087,-0.123,-0.087
0.123,-0.087,-0.07
0.087,-0.087,-0.087
0.087,-0.087,-0.105
0.07,-0.087,-0.087
0.087,-0.123,-0.07
0.087,-0.105,-0.087
0.07,-0.123,-0.105
0.07,-0.105,-0.087
0.087,-0.105,-0.087
0.087,-0.105,-0.087
0.07,-0.123,-0.087
0.087,-0.123,-0.087
0.087,-0.105,-0.087
0.087,-0.14,-0.105
0.087,-0.123,-0.087
0.087,-0.105,-0.087
0.07,-0.105,-0.07
0.087,-0.123,-0.105
0.07,-0.123,-0.087
0.087,-0.105,-0.087
0.087,-0.123,-0.07
0.07,-0.14,-0.087
0.105,-0.123,-0.07
0.105,-0.123,-0.087
0.053,-0.123,-0.087
0.087,-0.087,-0.087
0.087,-0.123,-0.087
0.087,-0.087,-0.105
0.07,-0.105,-0.087
0.07,-0.105,-0.087
0.105,-0.105,-0.087
0.07,-0.123,-0.087
0.07,-0.105,-0.087
0.087,-0.123,-0.07
0.087,-0.105,-0.087
0.087,-0.123,-0.07
0.087,-0.105,-0.087
0.105,-0.123,-0.087
0.087,-0.105,-0.087
0.087,-0.105,-0.07
0.07,-0.105,-0.087
0.053,-0.105,-0.07
0.07,-0.14,-0.087
0.087,-0.123,-0.105
0.087,-0.123,-0.087
